model_pair,benchmark,max_abs_spec_delta,max_spec_flip_rate,max_abs_temp_delta,max_temp_flip_rate,spec_delta_vs_temp_delta_ratio
Llama-3.2-1B→Llama-3.1-8B,gsm8k,0.08499999999999999,0.2,0.12499999999999999,0.14,0.6799999999945601
Llama-3.2-1B→Llama-3.1-8B,hellaswag,0.022000000000000006,0.098,0.06199999999999999,0.164,0.3548387096716963
Llama-3.2-1B→Llama-3.1-8B,mmlu,0.027999999999999914,0.164,0.12400000000000005,0.368,0.2258064516110814
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,0.044999999999999984,0.045,0.04999999999999999,0.05,0.8999999999819999
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,0.008,0.072,0.026000000000000002,0.072,0.30769230768047334
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,0.041999999999999926,0.148,0.15600000000000003,0.348,0.2692307692290429
